                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.34616,                0.23448,                0.88432,                0.98904,                0.98135,                0.99091,                0.85744,                0.65189,                0.27593,                0.93237,               0.006271,               0.006271,               0.006271
                    115,                0.34676,                0.23281,                0.88226,                0.98901,                0.98236,                0.99094,                0.85793,                 0.6515,                0.27586,                0.93178,               0.006238,               0.006238,               0.006238
                    116,                0.34428,                0.23642,                0.87685,                0.98897,                 0.9831,                0.99091,                0.85838,                0.65162,                0.27531,                0.93191,               0.006205,               0.006205,               0.006205
                    117,                0.34819,                0.23514,                 0.8784,                0.98896,                0.98305,                0.99094,                0.85809,                0.65153,                0.27486,                0.93186,               0.006172,               0.006172,               0.006172
                    118,                 0.3454,                0.23262,                0.88123,                0.98895,                0.98302,                0.99097,                0.85789,                0.65123,                0.27451,                0.93171,               0.006139,               0.006139,               0.006139
                    119,                0.34035,                0.23139,                0.87716,                0.98761,                0.98373,                0.99078,                0.85817,                0.65122,                0.27431,                0.93155,               0.006106,               0.006106,               0.006106
                    120,                0.34293,                0.23267,                0.87406,                0.98893,                0.98308,                0.99087,                0.85787,                0.65128,                 0.2742,                0.93152,               0.006073,               0.006073,               0.006073
                    121,                0.34284,                0.23027,                0.87897,                0.98697,                0.98369,                0.99079,                0.85762,                0.65111,                0.27422,                0.93121,                0.00604,                0.00604,                0.00604
                    122,                0.34685,                0.23034,                0.88019,                0.98872,                0.98226,                0.99081,                0.85781,                0.65099,                0.27403,                0.93128,               0.006007,               0.006007,               0.006007
                    123,                0.34217,                0.23048,                0.88119,                0.98834,                0.98308,                0.99087,                0.85778,                 0.6509,                0.27371,                0.93124,               0.005974,               0.005974,               0.005974
                    124,                0.34305,                0.23021,                0.88131,                0.98831,                0.98273,                0.99084,                0.85751,                0.65061,                0.27351,                0.93115,               0.005941,               0.005941,               0.005941
                    125,                 0.3388,                0.22899,                0.87587,                0.98919,                 0.9833,                0.99087,                0.85711,                0.65062,                0.27353,                0.93119,               0.005908,               0.005908,               0.005908
