                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.50658,                0.31871,                0.92467,                0.98928,                0.97405,                0.98941,                0.82931,                0.71969,                0.33257,                0.96884,               0.006271,               0.006271,               0.006271
                    115,                0.50368,                0.31247,                0.92975,                0.98439,                0.97539,                0.99059,                0.83275,                0.71721,                0.33197,                0.96634,               0.006238,               0.006238,               0.006238
                    116,                0.50036,                 0.3108,                0.92193,                0.98231,                0.97819,                0.98868,                0.83077,                0.71151,                0.33335,                 0.9673,               0.006205,               0.006205,               0.006205
                    117,                0.50137,                0.31417,                0.92599,                0.98081,                0.97746,                 0.9893,                0.83303,                0.71267,                0.33146,                0.96896,               0.006172,               0.006172,               0.006172
                    118,                0.49229,                  0.312,                0.91981,                0.98729,                0.97524,                0.99065,                0.83685,                0.70415,                0.32779,                0.95934,               0.006139,               0.006139,               0.006139
                    119,                0.49057,                0.30913,                0.91748,                0.98537,                0.97183,                0.98904,                0.83422,                0.70209,                0.33409,                0.95967,               0.006106,               0.006106,               0.006106
                    120,                0.48493,                0.30487,                0.91544,                0.98139,                0.98021,                0.99038,                0.83223,                0.70822,                 0.3277,                0.95949,               0.006073,               0.006073,               0.006073
                    121,                0.49299,                0.31162,                0.92107,                0.98629,                 0.9782,                0.98956,                0.83636,                0.71626,                0.32514,                0.96738,                0.00604,                0.00604,                0.00604
                    122,                 0.4909,                0.30578,                0.91969,                0.98314,                0.98175,                0.98983,                0.83593,                0.70693,                0.32687,                 0.9637,               0.006007,               0.006007,               0.006007
                    123,                0.48367,                0.30147,                0.91468,                 0.9846,                0.97348,                0.98888,                0.83323,                0.72168,                0.33513,                0.96886,               0.005974,               0.005974,               0.005974
                    124,                0.48672,                0.30452,                0.92026,                 0.9837,                0.97615,                0.98893,                0.83491,                0.70458,                0.33287,                0.96853,               0.005941,               0.005941,               0.005941
                    125,                0.49101,                0.30769,                0.91942,                0.98039,                0.98023,                0.99017,                0.83894,                0.70459,                0.32742,                 0.9632,               0.005908,               0.005908,               0.005908
                    126,                0.48232,                0.30188,                0.91987,                0.98156,                0.97966,                0.99007,                 0.8391,                 0.6996,                0.32325,                0.95769,               0.005875,               0.005875,               0.005875
                    127,                0.48106,                0.30091,                0.91825,                 0.9795,                0.98777,                0.99144,                0.83901,                0.70373,                0.31786,                0.95748,               0.005842,               0.005842,               0.005842
                    128,                0.47488,                0.29772,                 0.9168,                0.98844,                0.98111,                0.99025,                0.83628,                0.70799,                0.31768,                 0.9611,               0.005809,               0.005809,               0.005809
                    129,                0.47738,                0.30144,                0.91623,                 0.9795,                0.98501,                0.99114,                0.83893,                 0.7004,                0.31803,                0.95768,               0.005776,               0.005776,               0.005776
                    130,                0.48404,                0.30445,                0.92332,                0.99163,                0.97871,                0.99179,                0.84279,                0.69622,                0.31516,                0.95753,               0.005743,               0.005743,               0.005743
                    131,                0.46912,                0.29897,                0.91173,                0.98778,                0.97938,                0.99117,                0.83982,                0.69829,                0.32099,                0.96066,                0.00571,                0.00571,                0.00571
                    132,                0.46852,                0.29336,                 0.9105,                0.98665,                0.97893,                0.99107,                 0.8409,                0.70585,                 0.3229,                 0.9631,               0.005677,               0.005677,               0.005677
                    133,                0.46987,                0.29712,                0.90858,                 0.9875,                0.98207,                0.99105,                0.83911,                0.70532,                0.31677,                0.96099,               0.005644,               0.005644,               0.005644
